name,en_US,ja_JP,ko_KR,zh_CN
ErrorDisplay.materials3,You should try to have a maximum of 4 materials on your model.,,,您应该尝试在模型上最多使用 4 种材质。
ErrorDisplay.materials4,"Creating a texture atlas in CATS is very easy, so please make use of it.",,,在 CATS 中创建纹理图集非常简单，请使用它。
ErrorDisplay.meshes1,Meshes not joined!,,,网格未连接！
ErrorDisplay.meshes2,This model has {number} meshes!,,,这个模型有 {number} 个网格！
ErrorDisplay.meshes3,It is not very optimized and might cause lag for you and others!,,,它不是很优化，可能会给您和其他人造成延迟！
ErrorDisplay.meshes3_alt,It is extremely unoptimized and will cause laugh for you and others!,,,它非常未经优化，会引起您和其他人的欢笑！
ErrorDisplay.meshes4,"You should always join your meshes, it's very easy:",,,你应该总是加入你的网格，这很容易：
ErrorDisplay.JoinMeshes.label,Join Meshes,メッシュに参加する,메쉬 통합,加入网格
ErrorDisplay.brokenShapekeys1,Broken shapekeys!,,,破碎的形态键！
ErrorDisplay.brokenShapekeys2,This model has {number} broken shapekey(s):,,,此模型有 {number} 个损坏的 shapekey：
ErrorDisplay.brokenShapekeys3,You will not be able to upload this model until you fix these shapekeys.,,,在修复这些 shapekey 之前，您将无法上传此模型。
ErrorDisplay.brokenShapekeys4,Either delete or repair them before export.,,,在导出前删除或修复它们。
ErrorDisplay.textures1,No textures found!,,,没有找到纹理！
ErrorDisplay.textures2,This model has no textures assigned but you have 'Embed Textures' enabled.,,,"该模型没有指定纹理，但您启用了""嵌入纹理""。"
ErrorDisplay.textures3,"Therefore, no textures will be embedded into the FBX.",,,因此，不会将纹理嵌入到 FBX 中。
ErrorDisplay.textures4,"This is not an issue, but you will have to import the textures manually into Unity.",,,这不是问题，但您必须手动将纹理导入 Unity。
ErrorDisplay.eyes1,Eyes not named 'Body'!,,,"眼睛不叫""身体""！"
ErrorDisplay.eyes2,The mesh '{name}' has Eye Tracking shapekeys but is not named 'Body'.,,,"网格""{name}""具有眼睛追踪 shapekey，但未命名为""身体""。"
ErrorDisplay.eyes2_alt,Multiple meshes have Eye Tracking shapekeys but are not named 'Body'.,,,"多个网格具有眼睛追踪形态键，但未命名为""身体""。"
ErrorDisplay.eyes3,"If you want Eye Tracking to work, rename this mesh to 'Body'.",,,"如果您希望眼睛追踪起作用，请将此网格重命名为""身体""。"
ErrorDisplay.eyes3_alt,Make sure that the mesh containing the eyes is named 'Body' in order,,,"确保包含眼睛的网格按顺序命名为""身体"""
ErrorDisplay.eyes4_alt,to get Eye Tracking to work.,,,让眼睛追踪工作。
ErrorDisplay.continue,Continue to Export,,,继续出口
OneTexPerMatButton.label,One Material Texture,1つのマテリアルテクスチャ,매테리얼당 하나의 텍스처,一种材质纹理
OneTexPerMatButton.desc,Have all material slots ignore extra texture slots as these are not used by VRChat.,,,让所有材质插槽忽略额外的纹理插槽，因为 VRChat 不使用这些插槽。
OneTexPerMatOnlyButton.label,One Material Texture,1つのマテリアルテクスチャ,매테리얼당 하나의 텍스처,一种材质纹理
OneTexPerMatOnlyButton.desc,"Have all material slots ignore extra texture slots as these are not used by VRChat.
Also removes the textures from the material instead of disabling it.
This makes no difference, but cleans the list for the perfectionists",,,"让所有材质插槽忽略额外的纹理插槽，因为 VRChat 不使用这些插槽。
还会从材质中移除纹理，而不是禁用它。
这没有什么区别，但为完美主义者清理了清单"
ToolsMaterial.error.notCompatible,This function is not yet compatible with Blender 2.8!,,,此功能尚不兼容 Blender 2.8！
OneTexPerXButton.success,All materials have one texture now.,,,所有材质现在都有一种纹理。
StandardizeTextures.label,Standardize Textures,テクスチャを標準化する,텍스처들 표준화,标准化纹理
StandardizeTextures.desc,"Enables Color and Alpha on every texture, sets the blend method to Multiply
and changes the materials transparency to Z-Transparency",,,"在每个纹理上启用颜色和 Alpha，将混合方法设置为正片叠底
并将材质透明度更改为 Z-Transparency"
StandardizeTextures.success,All textures are now standardized.,,,所有纹理现在都标准化了。
CombineMaterialsButton.label,Combine Same Materials,同じマテリアルを組み合わせる,같은 매테리얼들을 통합,混合相同的材质
CombineMaterialsButton.desc,"Combines similar materials into one, reducing draw calls.
Your avatar should visibly look the same after this operation.
This is a very important step for optimizing your avatar.
If you have problems with this, please tell us!
",,,"将相似的材质合二为一，减少绘图调用。
完成此操作后，您的头像应该看起来相同。
这是优化头像的一个非常重要的步骤。
如果您对此有任何问题，请告诉我们！"
CombineMaterialsButton.error.noChanges,No materials combined.,,,没有混合任何材质。
CombineMaterialsButton.success,Combined {number} materials!,,,组合 {number} 种材质！
ConvertAllToPngButton.label,Convert Textures to PNG,テクスチャをPNGに変換,텍스처를 PNG로 변환,将纹理转换为 PNG
ConvertAllToPngButton.desc,"Converts all texture files into PNG files.
This helps with transparency and compatibility issues.

The converted image files will be saved next to the old ones",,,"将所有纹理文件转换为 PNG 文件。
这有助于解决透明度和兼容性问题。

转换后的图像文件将保存在旧文件旁边"
ConvertAllToPngButton.success,Converted {number} to PNG files.,,,将 {number} 转换为 PNG 文件。
RootButton.label,Parent Bones,親のボーンに接続する,부모 본,父级骨骼
RootButton.desc,"This will duplicate the parent of the bones and reparent them to the duplicate.
Very useful for Dynamic Bones.",,,"这将复制骨骼的父级并将它们重新设置为副本。
对于动态骨骼非常有用。"
RootButton.success,Bones parented!,,,骨头亲子！
RefreshRootButton.label,Refresh List,リストの更新,목록 새로고침,刷新列表
RefreshRootButton.desc,"This will clear the group bones list cache and rebuild it, useful if bones have changed or your model.",,,这将清除组骨骼列表缓存并重建它，如果骨骼已更改或您的模型很有用。
RefreshRootButton.success,"Root bones refreshed, check the root bones list again.",,,根骨骼刷新，再次检查根骨骼列表。
RevertChangesButton.label,Revert Settings,設定を元に戻す,설정 되돌리기,恢复设置
RevertChangesButton.desc,Revert the changes back to how they were on Blender start-up.,,변경 사항을 Blender 시작했을 때의 설정으로 되돌립니다.,将更改恢复到 Blender 启动时的状态。
RevertChangesButton.success,Settings reverted.,,설정 복구됨.,设置已还原。
ResetGoogleDictButton.label,Clear Local Google Translations,ローカルのGoogle翻訳をクリア,로컬 Google 번역 지우기,清除本地谷歌翻译
ResetGoogleDictButton.desc,Deletes all currently saved Google Translations. You can't undo this,,현재 저장된 모든 Google 번역을 삭제합니다. 이 작업은 취소 할 수 없습니다.,删除所有当前保存的 Google 翻译。 您无法撤消此操作
ResetGoogleDictButton.resetInfo,Local Google Dictionary cleared!,,로컬 Google 사전이 삭제되었습니다!,本地 Google 词典已清除！
DebugTranslations.label,Debug Google Translations,Google翻訳をデバッグ,Google 번역 디버그,调试谷歌翻译
DebugTranslations.desc,"Tests Google translations and prints the response into a file called 'google-response.txt' located in the cats addon folder > resources
This button is only visible in the cats development version",,,"测试谷歌翻译并将响应打印到一个名为""google-response.txt""的文件中，该文件位于cats插件文件夹>资源中
此按钮仅在猫开发版中可见"
DebugTranslations.error,"Errors found, response printed!!",,,发现错误，打印响应！！
DebugTranslations.success,"No issues with Google Translations found, response printed!",,,未发现 Google 翻译存在问题，已打印响应！
ShapeKeyApplier.label,Apply Selected Shapekey to Basis,選択したシェイプキーをBasisに適用,선택된 쉐이프키를 Basis에 적용,将选定的 Shapekey 应用到基础
ShapeKeyApplier.desc,Applies the selected shape key to the new Basis at it's current strength and creates a reverted shape key from the selected one,,,以当前强度将选定的形态键应用于新的基础，并从选定的形态键创建一个恢复的形态键
ShapeKeyApplier.error.recursiveRelativeToLoop,"Shapekey ""{name}"" is recursively relative to itself, so cannot be applied to the Basis",,,"要恢复形态键，请以相反的顺序应用""恢复的""形态键。
从名为""{name}""的形态键开始。

如果您没有更改形态键顺序，则可以将形态键从上到下还原。"
ShapeKeyApplier.successRemoved,"Successfully removed shapekey ""{name}"" from the Basis.",,,"已成功从基础中移除 shapekey""{name}""。"
ShapeKeyApplier.successSet,"Successfully applied shapekey ""{name}"" to the Basis.",,,"成功将 shapekey ""{name}"" 设置为新的 Basis。"
addToShapekeyMenu.ShapeKeyApplier.label,Apply Selected Shapekey to Basis,選択したシェイプキーをBasisに適用,선택된 쉐이프키를 Basis에 적용,将选定的 Shapekey 应用到基础
PatreonButton.label,Become a Patron,パトロンになる,후원하기,成为赞助人
PatreonButton.URL,https://www.patreon.com/catsblenderplugin,,,
PatreonButton.success,Patreon page opened.,,,Patreon 页面打开。
ReloadButton.label,Reload List,リストを再読み込み,목록 새로고침,重新加载列表
ReloadButton.desc,Reloads the supporter list,,후원자 목록을 다시 불러옵니다,重新加载支持者列表
DynamicPatronButton.label,Supporter Name,サポーター名,후원자 이름,支持者姓名
DynamicPatronButton.desc,This is an awesome supporter,,이것은 멋진 후원자입니다!,这是一个了不起的支持者
register_dynamic_buttons.desc,{name} is an awesome supporter,,{name}는 멋진 후원자입니다!,{name} 是一个很棒的支持者
TranslateShapekeyButton.label,Translate Shape Keys,シェイプキーを翻訳する,쉐이프키 이름 번역,转换形态键
TranslateShapekeyButton.desc,Translates all shape keys using the internal dictionary and Google Translate into English,Translates all shape keys using the internal dictionary and Google Translate,모든 쉐이프키들을 내장된 사전과 구글번역을 이용해 영어로 번역합니다.,使用内部字典和谷歌翻译将所有形态键翻译成英文
TranslateShapekeyButton.success,Translated {number} shape keys.,,{number}개의 쉐이프키들이 번역되었습니다.,翻译的 {number} 个形态键。
TranslateBonesButton.label,Translate Bones,ボーンを翻訳する,본 이름 번역,翻译骨骼
TranslateBonesButton.desc,Translates all bones using the internal dictionary and Google Translate into English,Translates all bones using the internal dictionary and Google Translate,모든 본들을 내장된 사전과 구글번역을 이용해 영어로 번역합니다.,使用内部字典和谷歌翻译将所有骨骼翻译成英文
TranslateBonesButton.success,Translated {number} bones.,,{number}개의 본들이 번역되었습니다.,翻译了 {number} 个骨骼。
TranslateObjectsButton.label,Translate Meshes & Objects,メッシュとオブジェクトを翻訳する,메쉬와 오브젝트들 번역,翻译网格和对象
TranslateObjectsButton.desc,Translates all meshes and objects using the internal dictionary and Google Translate into English,Translates all meshes and objects using the internal dictionary and Google Translate,모든 메쉬와 오브젝트들을 내장된 사전과 구글번역을 이용해 영어로 번역합니다.,使用内部字典和谷歌翻译将所有网格和对象翻译成英文
TranslateObjectsButton.success,Translated {number} meshes and objects.,,{number}개의 메쉬들과 오브젝트들이 번역되었습니다.,翻译的 {number} 个网格和对象。
TranslateMaterialsButton.label,Translate Materials,マテリアルを翻訳する,매테리얼 번역,翻译材质
TranslateMaterialsButton.desc,Translates all materials using the internal dictionary and Google Translate into English,Translates all materials using the internal dictionary and Google Translate,모든 매테리얼들을 내장된 사전과 구글번역을 이용해 영어로 번역합니다.,使用内部词典和谷歌翻译将所有材质翻译成英文
TranslateMaterialsButton.success,Translated {number} materials.,,{number}개의 매테리얼들이 번역되었습니다.,翻译了 {number} 个材质。
TranslateTexturesButton.label,Translate Textures,テクスチャを翻訳する,텍스처 번역,翻译纹理
TranslateTexturesButton.desc,Translates all textures using the internal dictionary and Google Translate into English,Translates all textures using the internal dictionary and Google Translate,모든 텍스처들을 내장된 사전과 구글번역을 이용해 영어로 번역합니다.,使用内部字典和谷歌翻译将所有纹理翻译成英文
TranslateTexturesButton.success_alt,Translated all textures,,모든 텍스처들이 번역되었습니다.,翻译所有纹理
TranslateTexturesButton.error.noInternet,Could not connect to Google. Please check your internet connection.,,구글에 연결하지 못했습니다. 인터넷 연결을 확인해주세요.,无法连接到 Google。 请检查您的互联网格连接。
TranslateTexturesButton.success,Translated {number} textures,,{number}개의 텍스처들이 번역되었습니다,翻译的 {number} 个纹理
TranslateAllButton.label,Translate Everything,すべてを翻訳する,모두 번역,翻译一切
TranslateAllButton.desc,Translates everything using the internal dictionary and Google Translate into English,Translates everything using the internal dictionary and Google Translate,모든 것들을 내장된 사전과 구글번역을 이용해 영어로 번역합니다.,使用内部词典和谷歌翻译将所有内容翻译成英语
TranslateAllButton.success,Translated everything.,,번역이 완료되었습니다.,翻译了一切。
TranslateX.error.wrongVersion,You need Blender 2.79 or higher for this function.,,이 기능을 사용하려면 Blender 2.79 이상의 버전이 필요합니다.,您需要 Blender 2.79 或更高版本才能使用此功能。
update_dictionary.error.cantConnect,Could not connect to Google. Some parts could not be translated.,,구글에 연결하지 못했습니다. 일부분은 번역되지 못했습니다.,无法连接到 Google。 有些部分无法翻译。
update_dictionary.error.temporaryBan,It looks like you got banned from Google Translate temporarily!,,일시적으로 Google 번역에서 차단 된 것 같습니다!,您似乎被暂时禁止使用 Google 翻译！
update_dictionary.error.catsTranslated,"
Cats translated what it could with the local dictionary, but you will have to try again later for the Google translations.",,"
Cats Plugin은 자체 내장된 로컬 사전으로 번역 할 수 있지만 나중에 Google 번역을 하려면 나중에 다시 시도해야합니다.",Cats 使用本地词典翻译了它可以翻译的内容，但您必须稍后再试一次以获取 Google 翻译。
update_dictionary.error.cantAccess,Cats was not able to access Google Translate!,,Cats는 Google 번역에 액세스 할 수 없습니다!,Cats 无法访问 Google 翻译！
update_dictionary.error.errorMsg,You got an error message from Google Translate!,,Google 번역에서 오류 메시지를 받았습니다!,您收到了来自 Google 翻译的错误消息！
update_dictionary.error.apiChanged,"Could not get translations from Google Translate!
This means that Google changed their API and translations will no longer work until this is fixed.
Please translate manually or wait for an CATS update.
For updates and dicussions please join our Discord. The link can be found in the Credits panel down below.",,"Google 번역에서 번역을 가져올 수 없습니다!
이는 Google이 API를 변경했으며 문제가 해결 될 때까지 번역이 더 이상 작동하지 않음을 의미합니다.
수동으로 번역하거나 Cats 업데이트를 기다리십시오.
업데이트 및 토론을 원하시면 Discord에 가입해주세요. 링크는 아래의 크레딧 패널에서 찾을 수 있습니다.","无法从谷歌翻译获得翻译！
这意味着 Google 更改了他们的 API，在此问题修复之前，翻译将不再有效。
请手动翻译或等待 CATS 更新。
如需更新和讨论，请加入我们的 Discord。 该链接可以在下方的 Credits 面板中找到。"
AutoVisemeButton.label,Create Visemes,バイセムを作成する,립싱크(Visemes) 생성,创建视位
AutoVisemeButton.desc,"This will give your avatar the ability to mimic each sound that comes from your mouth by blending between various shapes to mimic your actual voice.
It will generate 15 shape keys from the 3 shape keys you specify",,"당신의 아바타가 다양한 쉐이프키들을 조합하여 실제 음성을 모방하여 말하는 것처럼 보이게 합니다.
3개의 쉐이프키를 지정하여 새로운 15 종류의 쉐이프키들을 생성합니다.","这将使您的化身能够通过混合各种形状来模仿您的实际声音来模仿来自您嘴巴的每种声音。
它将从您指定的 3 个形态键中生成 15 个形态键"
AutoVisemeButton.error.noShapekeys,This mesh has no shapekeys!,,이 메쉬는 쉐이프키가 없습니다!,这个网格没有形态键！
AutoVisemeButton.error.selectShapekeys,"Please select the correct mouth shapekeys instead of ""Basis""!",,"""Basis"" 대신에 올바른 입모양 쉐이프키들을 선택하여 주세요!","请选择正确的嘴形键而不是""基础""！"
AutoVisemeButton.success,Created mouth visemes!,,입모양 쉐이프키들을 생성했습니다!,创造了嘴巴视位！
Scene.armature.label,Armature,アーマチュア,뼈대(Armature),
Scene.armature.desc,Select the armature which will be used by Cats,,Cats에서 쓰여질 뼈대(Armature)를 선택해주세요.,选择 Cats 将使用的骨架
Scene.zip_content.label,Zip Content,コンテンツを圧縮する,Zip 내용물,压缩内容
Scene.zip_content.desc,Select the model you want to import,,불러올 모델을 선택해주세요,选择您要导入的模型
Scene.keep_upper_chest.label,Keep Upper Chest,上部の胸の骨を保つ,Upper Chest 보존,保持上胸
Scene.keep_upper_chest.desc,"VRChat now partially supports the Upper Chest bone, so deleting it is no longer necessary.

Uncheck this if you are going to use the legacy SDK2 avatar system. Most people can leave this on.",,"VRChat은 이제 상단 가슴(Upper Chest) 본을 부분적으로 지원하므로 더 이상 삭제할 필요가 없습니다.

경고: 현재 이것은 눈 추적(Eye Tracking)을 망치기 때문에, 눈 추적을 원한다면 이것을 체크하지 말아주세요.","VRChat 现在部分支持上胸部骨骼，因此不再需要删除它。

警告：目前这会破坏眼睛追踪，因此如果您想要眼睛追踪，请不要勾选此项"
Scene.combine_mats.label,Combine Same Materials,同じマテリアルを組み合わせる,동일한 매테리얼 결합,混合相同的材质
Scene.combine_mats.desc,"Combines similar materials into one, reducing draw calls.

Your avatar should visibly look the same after this operation.
This is a very important step for optimizing your avatar.
If you have problems with this, uncheck this option and tell us!
",,"유사한 매테리얼들을 하나로 결합하여 드로우 콜을 줄입니다.

이 작업 후에도 아바타는 동일하게 보일 것입니다.
이것은 아바타를 최적화하는 데 매우 중요한 단계입니다.
이것에 문제가 있으면이 옵션을 선택 취소하고 우리에게 알려주세요!
","将相似的材质合二为一，减少绘图调用。

完成此操作后，您的头像应该看起来相同。
这是优化头像的一个非常重要的步骤。
如果您对此有疑问，请取消选中此选项并告诉我们！"
Scene.remove_zero_weight.label,Remove Zero Weight Bones,ゼロウェイトボーンを削除する,제로 웨이트 본 제거,移除零权重骨骼
Scene.remove_zero_weight.desc,"Cleans up the bones hierarchy, deleting all bones that don't directly affect any vertices.
Uncheck this if bones or vertex groups that you want to keep got deleted",,"본 구조를 정리하고 어느 Vertex에도 영향을 주지 않는 모든 본들을 지웁니다.
유지하려는 본들이나 버텍스 그룹이 지워질 경우 체크해제하세요","清理骨骼层次，删除所有不直接影响任何顶点的骨骼。
如果要保留的骨骼或顶点组被删除，请取消选中此选项"
Scene.keep_end_bones.label,Keep End Bones,エンドボーンを保持,엔드 본(End Bones) 유지,保留末梢骨头
Scene.keep_end_bones.desc,"Saves end bones from deletion.

This can improve skirt movement for dynamic bones, but increases the bone count.
This can also fix issues with crumbled finger bones in Unity.
Make sure to always uncheck ""Add Leaf Bones"" when exporting or use the CATS export button",,"엔드 본들을 유지합니다.

다이나믹본을 사용하는 스커트의 움직임을 향상시키지만 본의 개수를 늘려버립니다.
이것은 Unity에서 부서진 손가락 뼈들과 관련된 문제를 해결할 수도 있습니다.
내보내기 할때는 언제나 ""Add Leaf Bones""을 체크해제하거나 Cats의 내보내기(Export) 버튼을 사용하세요","从删除中保存末端骨骼。

这可以改善动态骨骼的裙子移动，但会增加骨骼数量。
这也可以解决 Unity 中手指骨头碎裂的问题。
确保在导出或使用 CATS 导出按钮时始终取消选中""添加叶骨"""
Scene.keep_twist_bones.label,Keep Twist Bones,ツイストボーンを保持,트위스트 본 유지,保持扭曲骨头
Scene.keep_twist_bones.desc,"This will keep any bone with ""Twist"" in the name.
So if there are certain bones that you want to keep, you can add ""Twist"" to them and they won't get deleted.

VRChat can now make use of twist bones, so you can use this option to keep them",,"이름에 ""Twist""가 들어간 본들을 유지합니다.
따라서 유지하려는 특정 뼈가있는 경우 이름에 ""Twist""를 추가 할 수 있으며 삭제되지 않습니다.

VRChat은 이제 트위스트 본을 사용할 수 있으므로 이 옵션을 사용하여 유지할 수 있습니다.","这将保留名称中带有""Twist""的任何骨骼。
因此，如果您想保留某些骨骼，您可以向它们添加""Twist""，它们不会被删除。

VRChat 现在可以使用扭曲骨骼，因此您可以使用此选项来保留它们"
Scene.fix_twist_bones.label,Fix MMD Twist Bones,MMDツイスト ボーンを修正する,MMD 트위스트 본 고치기,修复 MMD 扭曲骨头
Scene.fix_twist_bones.desc,"This will make MMD arm twist bones usable in VRChat.
WIll only work if the twist bones are properly named.
Required names:
  - ArmTwist[1-3]_[L/R]
  - HandTwist[1-3]_[L/R]

You don't need to enable ""Keep Twist Bones"" for this to work",,"VRChat에서 MMD 팔 트위스트 뼈대를 사용할 수 있습니다.
트위스트 본의 이름이 올바르게 지정된 경우에만 작동합니다.
필요한 이름형식:
  - ArmTwist[1-3]_[L/R]
  - HandTwist[1-3]_[L/R]

이 작업을 위해 ""Keep Twist Bones""를 활성화 할 필요가 없습니다.","这将使 MMD 手臂扭曲骨骼在 VRChat 中可用。
只有正确命名扭曲骨骼时才会起作用。
必填名称：
- ArmTwist[1-3]_[L/R]
- HandTwist[1-3]_[L/R]

您无需启用""保持扭曲骨骼""即可使用"
Scene.join_meshes.label,Join Meshes,メッシュを結合する,메쉬 통합,加入网格
Scene.join_meshes.desc,"Joins all meshes of this model together.
It also:
  - Applies all transformations
  - Repairs broken armature modifiers
  - Applies all decimation and mirror modifiers
  - Merges UV maps correctly

INFO: You should always join your meshes",,"모델의 모든 메쉬들을 통합합니다.
또한:
  - 모든 쉐이프키들의 순서를 올바르게 재설정합니다.
  - 모든 변환(Transforms)을 적용
  - 망가진 아마추어 모디파이어들(armature modifiers)을 고침
  - 모든 데시메이션(decimation)과 미러 모디파이어들(mirror modifiers)을 적용
  - UV맵들을 올바르게 통합","将此模型的所有网格连接在一起。
它也是：
- 应用所有转换
- 修复损坏的电枢修改器
- 应用所有精简和镜像修改器
- 正确合并 UV 贴图

信息：您应该始终加入您的网格"
Scene.connect_bones.label,Connect Bones,ボーンを接続する,본 연결,连接骨骼
Scene.connect_bones.desc,"This connects all bones to their child bone if they have exactly one child bone.
This will not change how the bones function in any way, it just improves the aesthetic of the armature",,"모든 본들이 정확히 하나의 자식 본을 가지고 있다면 모든 본들을 그것들의 자식 본과 연결시켜줍니다.
뼈의 기능에는 영향을 주지 않으며 뼈대(armature)의 미관을 개선할 뿐입니다.","如果它们只有一个子骨骼，这会将所有骨骼连接到它们的子骨骼。
这不会以任何方式改变骨骼的功能，它只会提高骨架的美感"
Scene.fix_materials.label,Fix Materials,マテリアルを修正する,매테리얼 고치기,修复材质
Scene.fix_materials.desc,This will apply some VRChat related fixes to materials,,매테리얼에 일부 VRChat 관련 픽스가 적용됩니다.,这将对材质应用一些与 VRChat 相关的修复
Scene.remove_rigidbodies_joints.label,Remove Rigidbodies and Joints,リジッドボディとジョイントを除去,Rigidbodies와 Joints 제거,移除刚体和关节
Scene.remove_rigidbodies_joints.desc,"Rigidbodies and joints are used by MMD software to simulate physics.
They are completely useless for VRChat, so removing them is recommended for VRChat users!",,"Rigidbodies와 joints는 MMD software에서 물리연산을 위해 사용되는 것들입니다.
VRChat에 사용되지않으므로 VRChat 유저들에게는 이것들을 지우는 게 좋습니다!","MMD 软件使用刚体和关节来模拟物理。
它们对 VRChat 完全没用，因此建议 VRChat 用户删除它们！"
Scene.use_google_only.label,Use Old Translations (not recommended),古い翻訳を使用する(推奨しません),구버전 번역을 사용 (권장되지 않음),使用旧翻译（不推荐）
Scene.use_google_only.desc,"Ignores the internal dictionary and only uses the Google Translator for shape key translations.

This will result in slower translation speed and worse translations, but the translations will be like in CATS version 0.9.0 and older.
Only use this if you have animations which rely on the old translations and you don't want to convert them to the new ones",,"내장된 사전 대신에 구글 번역기를 쉐이프키 번역에 사용합니다.

번역 속도가 느려지고 번역의 질이 더 나빠질 수 있지만, 번역은 CATS 0.9.0 버전 혹은 그 이전의 버전처럼 될 것이다.
이전 번역에 의존하는 애니메이션을 새 번역으로 변환하지 않을 경우에만 이 기능을 사용하세요.","忽略内部字典，只使用谷歌翻译器进行形态键翻译。

这将导致翻译速度变慢和翻译效果变差，但翻译将与 CATS 版本 0.9.0 及更早版本相同。
仅当您的动画依赖于旧翻译并且您不想将它们转换为新翻译时才使用此选项"
Scene.show_more_options.label,Show More Options,その他のオプションを表示,더 많은 옵션 보기,显示更多选项
Scene.show_more_options.desc,Shows more model options,,더 많은 모델 옵션 보기,显示更多模型选项
Scene.merge_mode.label,Merge Mode,マージモード,통합모드,合并模式
Scene.merge_mode.desc,Mode,,,模式
Scene.merge_mode.armature.label,Merge Armatures,アーマチュアをマージ,뼈대(Armatures) 통합,合并骨架
Scene.merge_mode.armature.desc,Here you can merge two armatures together.,,,在这里，您可以将两个骨架合并在一起。
Scene.merge_mode.mesh.label,Attach Mesh,メッシュを取り付ける,메쉬 붙이기,附加网格
Scene.merge_mode.mesh.desc,Here you can attach a mesh to an armature.,,,在这里，您可以将网格附加到骨架。
Scene.merge_armature_into.label,Base Armature,ベースアーマチュア,기본 뼈대(Armature),基础骨骼
Scene.merge_armature_into.desc,"Select the armature into which the other armature will be merged
",,,选择要合并其他骨架的骨架
Scene.merge_armature.label,Merge Armature,メッシュを取り付ける,뼈대(Armature) 통합,合并骨骼
Scene.merge_armature.desc,"Select the armature which will be merged into the selected armature above
",,,选择将合并到上面选定的骨架中的骨架
Scene.attach_to_bone.label,Attach to Bone,骨に取り付ける,본에 붙이기,附着在骨头上
Scene.attach_to_bone.desc,"Select the bone to which the armature will be attached to
",,,选择骨架将附加到的骨骼
Scene.attach_mesh.label,Attach Mesh,メッシュを取り付ける,메쉬 붙이기,附加网格
Scene.attach_mesh.desc,"Select the mesh which will be attached to the selected bone in the selected armature
",,,选择将附加到选定骨架中选定骨骼的网格
Scene.merge_same_bones.label,Merge All Bones,すべてのボーンをマージ,모든 뼈 통합,合并所有骨骼
Scene.merge_same_bones.desc,"Merges all bones together that have the same name instead of only the base bones (Hips, Spine, etc).
You will have to make sure that all the bones you want to merge have the same name.

If this is checked, you won't need to fix the model with CATS beforehand but it is still advised to do so.
If this is unchecked, CATS will only merge the base bones (Hips, Spine, etc).

This can have unintended side effects, so check your model afterwards!
",,,"将具有相同名称的所有骨骼合并在一起，而不仅仅是基础骨骼（臀部、脊柱等）。
您必须确保要合并的所有骨骼都具有相同的名称。

如果选中此项，则无需事先使用 CATS 修复模型，但仍建议您这样做。
如果未选中此项，CATS 将仅合并基础骨骼（臀部、脊柱等）。

这可能会产生意想不到的副作用，因此请稍后检查您的模型！"
Scene.apply_transforms.label,Apply Transforms,変換を適用する,변환 적용,应用变换
Scene.apply_transforms.desc,"Check this if both armatures and meshes are already at their correct positions.
This will cause them to stay exactly where they are when merging",,,"如果骨架和网格都已经在正确的位置，请检查此项。
这将导致它们在合并时准确地停留在原来的位置"
Scene.merge_armatures_join_meshes.label,Join Meshes,メッシュを結合する,메쉬 통합,加入网格
Scene.merge_armatures_join_meshes.desc,"This will join all meshes.
Not checking this will always apply transforms",,,"这将连接所有网格。
不检查这将始终应用转换"
Scene.merge_armatures_remove_zero_weight_bones.label,Remove Zero Weight Bones,ゼロウェイトボーンを削除する,제로 웨이트 본 제거,移除零权重骨骼
Scene.merge_armatures_remove_zero_weight_bones.desc,"Cleans up the bones hierarchy, deleting all bones that don't directly affect any vertices.
Uncheck this if bones or vertex groups that you want to keep got deleted",,,"清理骨骼层次，删除所有不直接影响任何顶点的骨骼。
如果要保留的骨骼或顶点组被删除，请取消选中此选项"
Scene.merge_armatures_cleanup_shape_keys.label,Cleanup Shape Keys,,,清理形状键
Scene.merge_armatures_cleanup_shape_keys.desc,"Cleans up the meshes shape keys.
Uncheck this if shape keys you want to keep got deleted",,,"清理网格形状键。
如果要保留的形状键被删除，请取消选中此选项"
Scene.decimation_mode.label,Decimation Mode,単純化モード,,精简模式
Scene.decimation_mode.desc,Decimation Mode,,,精简模式
Scene.decimation_mode.smart.label,Smart,スマート,,智能
Scene.decimation_mode.smart.desc,"Best results - repair shape keys after decimation

This will decimate your whole model and attempt to undo the warping caused by Blender's decimation.
This will give the best results and keep blinking and lip syncing, but may have issues on some models.",,"최고의 결과 - 데시메이션 이후 쉐이프키들을 복구함

This will decimate your whole model and attempt to undo the warping caused by Blender's decimation.
This will give the best results and keep blinking and lip syncing, but may have issues on some models.","最佳结果 - 精简后修复形态键

这将精简整个模型并尝试消除由 Blender 精简引起的扭曲。
这将提供最佳效果并保持眨眼和口型同步，但在某些型号上可能会出现问题。"
Scene.decimation_mode.safe.label,Safe,安全,안전,安全
Scene.decimation_mode.safe.desc,"Decent results - no shape key loss

This will only decimate meshes with no shape keys.
The results are decent and you won't lose any shape keys.
Eye Tracking and Lip Syncing will be fully preserved.",,"괜찮은 결과 - 쉐이프키 손실 없음

This will only decimate meshes with no shape keys.
The results are decent and you won't lose any shape keys.
Eye Tracking and Lip Syncing will be fully preserved.","体面的结果 - 没有形态键丢失

这只会精简没有形态键的网格。
结果不错，您不会丢失任何形态键。
眼睛追踪和唇形同步将完全保留。"
Scene.decimation_mode.half.label,Half,ハーフ,반,一半
